CarID,Make,Model,Year,VIN,LicensePlate,Color,LeaseStartDate,LeaseEndDate,MonthlyLeaseRate,LeaseStatus,OdometerReading,MaintenanceDueDate,LesseeID,InsurancePolicyNumber,InsuranceExpiryDate,RegistrationExpiryDate,PurchaseDate,PurchasePrice,DepreciationRate,CurrentValue,LeaseDeposit,LeaseTerminationFee,ServiceHistory,DamageHistory,CustomFeatures,LocationID,FleetID,Notes
1,Toyota,Corolla,2020,JTDBU4EE9JJ123456,ABC123,Red,1/1/2024,12/31/2024,300,Active,15000,6/1/2024,1001,POLICY123,1/1/2025,12/31/2024,6/15/2020,20000,0.15,17000,500,1000,Suspension checked,,Upgraded audio system,101,4,
2,Ford,Focus,2019,1FADP3F21JL123456,XYZ789,Blue,2/1/2024,8/1/2024,280,Pending,20000,7/1/2024,1002,POLICY456,2/1/2024,8/1/2023,5/20/2019,18000,0.2,14400,300,1500,,,GPS navigation,102,1,Regular maintenance required
3,Honda,Civic,2018,2HGFC2F59JH123456,DEF456,White,3/1/2024,9/30/2024,270,Ended,25000,8/1/2024,1003,POLICY789,3/1/2024,9/30/2023,4/10/2018,16000,0.25,12000,400,1200,,,Safety package,103,5,Check engine light reported
4,Chevrolet,Malibu,2021,1G1ZD5ST0MF123456,GHI012,Black,4/1/2024,10/31/2024,320,Active,10000,9/1/2024,1004,POLICY012,4/1/2025,10/31/2024,7/22/2021,22000,0.1,19800,600,800,Suspension checked,Front windshield replaced,Hybrid model,104,2,"Premium client,handle with care"
5,BMW,3 Series,2022,WBA8E9G58JNU123456,JKL345,Silver,5/1/2024,11/30/2024,350,Active,8000,10/1/2024,1005,POLICY345,5/1/2025,11/30/2024,8/30/2022,28000,0.08,25760,700,700,Routine maintenance,,alloy wheels,105,4,Due for next service soon
6,Nissan,Altima,2017,1N4AL3AP5HC123456,MNO678,Grey,6/1/2024,12/31/2024,260,Ended,30000,11/1/2024,1006,POLICY678,6/1/2024,12/31/2023,3/15/2017,15000,0.3,10500,200,1300,Tire rotation,,Sport package,106,3,Multiple lessees
7,Hyundai,Sonata,2021,5NPE34AF6HH123456,PQR901,Blue,7/1/2024,1/31/2025,310,Active,12000,12/1/2024,1007,POLICY901,7/1/2025,1/31/2025,9/14/2021,21000,0.12,18480,550,950,,,,107,1,Lease extension possible
8,Kia,Optima,2020,5XXGT4L33LG123456,STU234,Red,8/1/2024,2/28/2025,290,Active,18000,12/31/2024,1008,POLICY234,8/1/2025,2/28/2025,10/5/2020,19000,0.18,15580,450,1100,Battery replacement,,Sport package,108,1,"Good condition,well maintained"
9,Subaru,Impreza,2019,JF1GPAA60FH123456,VWX567,Green,9/1/2024,3/31/2025,275,Pending,22000,1/1/2025,1009,POLICY567,9/1/2025,3/31/2025,11/20/2019,17000,0.22,13260,350,1400,Air filter replaced,,Safety package,109,2,Suitable for colder regions
10,Mazda,CX-5,2022,JM3KE2CY0G0123456,YZA890,White,10/1/2024,4/30/2025,340,Active,5000,1/31/2025,1010,POLICY890,10/1/2025,4/30/2025,12/25/2022,25000,0.09,22750,650,600,Oil change,Windshield chip repair,Heated seats,110,3,New addition to fleet
11,Toyota,Civic,2021,U5DD649VBNL48917,GVB890,Silver,8/1/2021,9/10/2022,360,Ended,7180,5/3/2024,4977,POLICY122,1/9/2017,9/28/2022,9/1/2021,28000,0.12,21700,290,3590,Battery replacement,,keyless entry,7260,4,
12,Ford,A4,2017,S2SH502TUPH22981,KVF254,Black,7/26/2021,4/15/2022,540,Ended,4587,4/9/2024,610,POLICY714,4/5/2017,8/5/2019,1/23/2022,21400,0.1,19000,530,4360,Transmission serviced,,,9663,4,
13,Chevrolet,C-Class,2023,V0BZ616YTVY86704,WDD707,Black,1/24/2019,9/20/2019,750,Active,6867,10/30/2024,5361,POLICY697,1/30/2022,6/11/2019,5/30/2018,26500,0.1,24400,590,3140,Brake system serviced,,Leather seats,3698,5,
14,BMW,Altima,2020,H9RR620VFZZ62849,LUO495,Blue,10/1/2021,3/16/2023,360,Ended,2602,7/2/2024,6117,POLICY425,5/10/2022,1/23/2022,9/7/2017,28300,0.16,22800,1260,3390,,,Premium sound system,3736,1,
15,Mercedes-Benz,Silverado,2018,H7AF255HRPX13866,QRM894,White,5/16/2021,4/20/2023,750,Pending,2567,5/31/2024,5487,POLICY810,8/16/2020,10/6/2021,3/30/2019,17600,0.21,11200,930,1190,AC system overhaul,,alloy wheels,5537,1,Multiple lessees
16,Nissan,F-150,2017,W5AR917KFKE93492,MRC136,Blue,10/9/2022,12/31/2023,640,Ended,7928,5/27/2024,9401,POLICY258,1/30/2017,11/22/2023,8/11/2017,25200,0.25,10200,1350,2400,Tire rotation,,Sunroof,4692,1,
17,Audi,Altima,2023,Y0UG082TVTM81905,PKO182,Silver,5/9/2020,3/11/2022,280,Pending,9645,4/10/2024,5568,POLICY865,10/29/2022,4/21/2018,1/20/2018,22500,0.23,13400,800,3150,,Replaced tail light,Sport package,4919,2,well maintained
